date,outlet_id,total_transactions,total_revenue,cash_revenue,card_revenue,tax_collected,avg_transaction_value
2024-01-15,OUT001,156,847.50,423.75,423.75,50.85,5.43
2024-01-16,OUT001,142,789.25,394.63,394.62,47.36,5.56
2024-01-17,OUT001,168,923.75,461.88,461.87,55.43,5.50
2024-01-18,OUT001,134,756.80,378.40,378.40,45.41,5.65
2024-01-19,OUT001,189,1045.60,522.80,522.80,62.74,5.53
2024-01-20,OUT001,203,1123.40,561.70,561.70,67.40,5.53
2024-01-21,OUT001,178,987.25,493.63,493.62,59.24,5.55
2024-01-22,OUT001,145,823.90,411.95,411.95,49.43,5.68
2024-01-23,OUT001,167,945.15,472.58,472.57,56.71,5.66
2024-01-24,OUT001,192,1067.80,533.90,533.90,64.07,5.56
