date,outlet_id,total_transactions,total_revenue,avg_order_value,peak_hour,staff_count
2024-01-15,OUT001,156,847.50,5.43,10:00-11:00,4
2024-01-16,OUT001,142,789.25,5.56,09:00-10:00,4
2024-01-17,OUT001,168,923.75,5.50,10:30-11:30,4
2024-01-18,OUT001,134,756.80,5.65,09:30-10:30,4
2024-01-19,OUT001,189,1045.60,5.53,11:00-12:00,5
2024-01-20,OUT001,203,1123.40,5.53,10:00-11:00,5
2024-01-21,OUT001,178,987.25,5.55,09:00-10:00,4
2024-01-22,OUT001,145,823.90,5.68,10:30-11:30,4
2024-01-23,OUT001,167,945.15,5.66,09:30-10:30,4
2024-01-24,OUT001,192,1067.80,5.56,11:00-12:00,5
