transaction_id,outlet_id,pos_terminal,transaction_time,items,subtotal,tax_amount,total_amount,payment_method,cashier_id
TXN001,OUT001,POS001,2024-01-15 08:30:00,"Espresso x1, Latte x1",9.00,0.54,9.54,Cash,CASH001
TXN002,OUT001,POS001,2024-01-15 08:45:00,"Cappuccino x2",10.00,0.60,10.60,Card,CASH001
TXN003,OUT001,POS002,2024-01-15 09:15:00,"Mocha x1, Croissant x1",11.00,0.66,11.66,Card,CASH002
TXN004,OUT001,POS001,2024-01-15 09:30:00,"American Coffee x1",4.00,0.24,4.24,Cash,CASH001
TXN005,OUT001,POS002,2024-01-15 10:00:00,"Flat White x1, Cookie x2",11.75,0.71,12.46,Card,CASH002
TXN006,OUT001,POS001,2024-01-15 10:15:00,"Green Tea x1",3.25,0.20,3.45,Cash,CASH001
TXN007,OUT001,POS002,2024-01-15 10:30:00,"Macchiato x1",5.25,0.32,5.57,Card,CASH002
TXN008,OUT001,POS001,2024-01-15 11:00:00,"Latte x1, Croissant x1",10.00,0.60,10.60,Cash,CASH001
TXN009,OUT001,POS002,2024-01-15 11:15:00,"Espresso x2",7.00,0.42,7.42,Card,CASH002
TXN010,OUT001,POS001,2024-01-15 11:30:00,"Cappuccino x1, Cookie x1",8.00,0.48,8.48,Cash,CASH001
