product_id,product_name,category,base_cost,selling_price,profit_margin,stock_quantity,min_stock_level,supplier_id
PROD001,Espresso,Coffee,1.20,3.50,65.7,45,20,SUPP001
PROD002,Latte,Coffee,1.80,5.50,67.3,38,15,SUPP001
PROD003,Cappuccino,Coffee,1.65,5.00,67.0,42,18,SUPP001
PROD004,Mocha,Coffee,2.10,6.50,67.7,28,12,SUPP001
PROD005,American Coffee,Coffee,1.00,4.00,75.0,55,25,SUPP001
PROD006,Flat White,Coffee,1.90,5.75,67.0,35,15,SUPP001
PROD007,Macchiato,Coffee,1.70,5.25,67.6,32,14,SUPP001
PROD008,Croissant,Food,2.50,4.50,44.4,25,10,SUPP002
PROD009,Chocolate Chip Cookie,Food,1.80,3.00,40.0,60,20,SUPP002
PROD010,Green Tea,Tea,1.20,3.25,63.1,40,15,SUPP003
